date,actual_pnl_eur,mc_volatility_eur,mc_var_eur,mc_es_eur,mc_exception
2022-06-03,-4451.564363386451,4392.089820202859,10292.912949021376,11803.764809248323,False
2022-06-06,-5898.018809180211,4397.380408588222,10305.311503679606,11817.983293741994,False
2022-06-07,5970.053525325947,4409.831717221993,10334.491288500783,11851.446252082316,False
2022-06-08,-5380.1016427411705,4420.2827781088845,10358.983469748737,11879.533533938109,False
2022-06-09,-5068.25220837056,4430.719130073519,10383.441180468408,11907.581285486915,False
2022-06-10,-8934.77071328737,4435.909564614999,10395.605023442951,11921.530605991156,False
2022-06-13,-25301.196488971476,4468.7809220434965,10472.639427195665,12009.872554341566,True
2022-06-14,-7164.860707067061,4733.132569933841,11092.150550841128,12720.319017499447,False
2022-06-15,11607.310584000395,4750.594495269461,11133.072773463966,12767.24803494126,False
2022-06-16,-3906.667272677645,4811.575672016702,11275.982861709668,12931.135272584863,False
2022-06-17,2006.1443142603937,4816.583690689637,11287.719211000724,12944.594349469797,False
2022-06-21,152.75021334129633,4816.397273894021,11287.282341098682,12944.093353337656,False
2022-06-22,8619.984295308575,4816.501776216558,11287.527243492048,12944.374203886651,False
2022-06-23,4593.687303350141,4848.438094828554,11362.370373036769,13030.203230432337,False
2022-06-24,2812.649648416049,4857.979567761692,11384.73092446595,13055.845989812737,False
2022-06-27,-2806.207323891236,4855.038222610797,11377.837848315292,13047.941109037236,False
2022-06-28,-3678.1393949805392,4857.197912198862,11382.899105674967,13053.74528632005,False
2022-06-29,3279.8580581897936,4859.550808619134,11388.41314546544,13060.06870799455,False
2022-06-30,-1770.497722717851,4864.171306953951,11399.241336392366,13072.486321904636,False
2022-07-01,6194.659509834811,4854.781397800586,11377.235976422215,13047.250890990474,False
2022-07-05,-1201.4879871107385,4864.436275518177,11399.862293266533,13073.198426333736,False
2022-07-06,-9933.844547121436,4858.42862983977,11385.783306604653,13057.05284654185,False
2022-07-07,-201.84381871031195,4894.915622020565,11471.290991935006,13155.111832566661,False
2022-07-08,-3789.214157578663,4894.895766842889,11471.24446109803,13155.058471670796,False
2022-07-11,1440.2089209190783,4898.731657354688,11480.233914578308,13165.367447873201,False
2022-07-12,-3320.157728335293,4897.507383754444,11477.364815331948,13162.077206045045,False
2022-07-13,2558.1470463385717,4892.916368573406,11466.605718514596,13149.738828267933,False
2022-07-14,-5169.868827932427,4890.288710580704,11460.447771822735,13142.676983402576,False
2022-07-15,6023.073857874206,4893.158046220263,11467.172092856346,13150.388338232424,False
2022-07-18,-3638.653088360405,4905.313944463079,11495.65958003271,13183.057379572003,False
2022-07-19,6462.154823255428,4909.125608744326,11504.592259063387,13193.301247650634,False
2022-07-20,2668.9297651500683,4927.3125176069825,11547.213488910289,13242.178662186778,False
2022-07-21,8896.00316698933,4923.883024040729,11539.176431340495,13232.961879942324,False
2022-07-22,3850.379863681352,4959.523406459048,11622.700076966814,13328.745597716583,False
2022-07-25,-3450.3540070264185,4966.97541299722,11640.163939896058,13348.772905020034,False
2022-07-26,-2421.1281397401253,4966.098027853173,11638.107777731773,13346.414927767426,False
2022-07-27,4468.092184569151,4966.844907603282,11639.858099006145,13348.422171078008,False
2022-07-28,8926.030558224307,4975.241071570141,11659.534605715791,13370.98690650505,False
2022-07-29,2918.7265088787776,5010.528451022566,11742.230984836317,13465.82192692635,False
2022-08-01,7647.22442122151,5013.475879650934,11749.13831768632,13473.743157079994,False
2022-08-02,-7847.373919092671,5036.662607714918,11803.476681268372,13536.05761237741,False
2022-08-03,6944.357172131032,5058.623380069154,11854.942003561118,13595.07730516841,False
2022-08-04,2250.263882714587,5079.880744021206,11904.758880182742,13652.206584128151,False
2022-08-05,-7475.73459302564,5057.25490081946,11851.734956718667,13591.39950988849,False
2022-08-08,4321.56634515895,5067.281687617557,11875.23284676556,13618.34655286853,False
2022-08-09,-1173.685224858667,5075.626953601235,11894.790073466918,13640.774499694402,False
2022-08-10,3120.9828712412123,5073.238277664054,11889.192183967543,13634.354920377446,False
2022-08-11,-5573.608897874482,5077.635053081359,11899.4960776672,13646.171277753887,False
2022-08-12,8963.765835346916,5065.401935292541,11870.827625597698,13613.294708472711,False
2022-08-15,-2328.7503876360306,5095.245267629516,11940.765817763135,13693.498823245032,False
2022-08-16,-366.8370892723648,5095.388434497344,11941.101330962558,13693.883584965648,False
2022-08-17,-5705.171245682788,5093.045765708743,11935.6112597444,13687.587650105796,False
2022-08-18,966.0054327535915,5101.917089076349,11956.401307968226,13711.42937895577,False
2022-08-19,-11062.076026451685,5100.727468916837,11953.61341945831,13708.232268434345,False
2022-08-22,-8293.527034493536,5136.763792708072,12038.064958240548,13805.08008075937,False
2022-08-23,-3115.6093259894715,5160.42196394023,12093.508154303054,13868.661542084861,False
2022-08-24,-400.8535886993458,5160.9156262087245,12094.665057500355,13869.988262063516,False
2022-08-25,8213.677799775942,5160.863972013155,12094.544005299647,13869.849441137518,False
2022-08-26,-7980.024607433356,5172.769276546268,12122.444223238555,13901.84501054617,False
2022-08-29,-4696.287893562362,5192.287593557518,12168.185623376616,13954.300591580375,False
2022-08-30,-1734.0687056965342,5197.99890323058,12181.570143205725,13969.64976677791,False
2022-08-31,-5708.710438057879,5197.792797516292,12181.087132096593,13969.09585657186,False
2022-09-01,-5747.368562310774,5205.117796274243,12198.25335083385,13988.781829788795,False
2022-09-02,-1346.1779345272653,5215.40457876379,12222.360543770428,14016.427612575837,False
2022-09-06,-9251.659315445426,5202.642172152442,12192.451697264974,13982.128576762087,False
2022-09-07,9670.419434306488,5230.733319011521,12258.283622634233,14057.623683720376,False
2022-09-08,-368.4212275547216,5266.627274568842,12342.401519824798,14154.088880657686,False
2022-09-09,5669.0533598316215,5258.267837704915,12322.811083502786,14131.622849515592,False
2022-09-12,2168.4826726837696,5268.949262867681,12347.843126077623,14160.329236591038,False
2022-09-13,-10969.40719850059,5266.246956996269,12341.510241224465,14153.066775153644,False
2022-09-14,-1505.0593874285755,5307.108002633215,12437.268571077486,14262.881053163148,False
2022-09-15,-5794.538661430371,5300.360237659178,12421.455106343969,14244.746398818139,False
2022-09-16,-3489.700487120728,5303.244589942451,12428.214619054634,14252.498110958033,False
2022-09-19,3436.247240598034,5306.282033049686,12435.332901869926,14260.661255503566,False
2022-09-20,-6572.228194353936,5311.974192804027,12448.672543644521,14275.958965192436,False
2022-09-21,188.78503833958928,5318.862210339884,12464.814691867856,14294.470549045127,False
2022-09-22,-12660.723815110432,5307.87026897328,12439.05495100218,14264.929648016276,True
2022-09-23,-5334.473928806943,5361.822854185617,12565.493454242896,14409.927508435245,False
2022-09-26,-13032.730023046834,5369.518326344868,12583.527881652017,14430.609130893441,True
2022-09-27,-9596.57340829164,5381.850140531065,12612.42762986258,14463.750947268794,False
2022-09-28,17509.732080431793,5411.137311691652,12681.06245192209,14542.460375914268,False
2022-09-29,-4470.240588347075,5531.939472614807,12964.163703794546,14867.116827480193,False
2022-09-30,-5228.774800667064,5524.076453816335,12945.736628911673,14845.984922535778,False
2022-10-03,14263.533906977766,5530.087734493955,12959.824134235965,14862.140271407432,False
2022-10-04,9862.26934874419,5610.280417738608,13147.756608655973,15077.658535193463,False
2022-10-05,-1184.188491495264,5645.377257498733,13230.006455818717,15171.981479175802,False
2022-10-06,-5884.1571706982295,5644.247578033172,13227.359039013661,15168.945459588958,False
2022-10-07,-13991.25278043355,5653.013990356421,13247.90322699984,15192.505239447864,True
2022-10-10,-9956.77131741638,5714.546126130511,13392.10449405426,15357.87318241369,False
2022-10-11,-1076.9943019449556,5733.53178341021,13436.59759999235,15408.89723757935,False
2022-10-12,1246.2243620029124,5717.0403638692405,13397.949768848235,15364.576459635136,False
2022-10-13,2850.390590211343,5698.2750916295545,13353.97313778315,15314.144690439547,False
2022-10-14,-9147.935967951207,5701.911646115147,13362.495444996086,15323.917950008718,False
2022-10-17,5149.309704232219,5724.216221854138,13414.766474470543,15383.861616229313,False
2022-10-18,6161.251582308213,5736.329732259005,13443.154625261732,15416.416740028404,False
2022-10-19,-8887.96617764287,5752.381280614461,13480.77161322945,15459.555361816272,False
2022-10-20,-9436.481196913994,5774.850333474823,13533.428096727319,15519.9410611775,False
2022-10-21,3597.127907774955,5794.497514742187,13579.471491729948,15572.74296558708,False
2022-10-24,1753.6161335669262,5798.15069878894,13588.0327705105,15582.560917190533,False
