date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2024-03-19,-698.8268050415209,698.8268050415209,2994.736720116844,3411.3318037717117,2803.9569744849473,3059.50183486628,2631.511654547538,2921.5286831816948
2024-03-20,-783.4149257476383,783.4149257476383,2956.0557825707015,3367.3361007518024,2985.4698829932076,3436.165940379753,2807.771350848217,3226.301929898821
2024-03-21,691.2883088998278,-691.2883088998278,2899.8173600666105,3303.288340903194,2786.864100190516,3198.5486977381156,2665.50190265441,3054.9559367916986
2024-03-22,427.8086089780845,-427.8086089780845,2944.69570735445,3354.3266846368633,2855.966984295903,3340.6747900497116,2741.217083068145,3115.5351089691053
2024-03-25,-430.34981719493953,430.34981719493953,2975.315158212162,3389.1290617201234,2765.2653985182774,3155.2820719126967,2701.625722347401,3035.0532162956533
2024-03-26,-537.6168792219323,537.6168792219323,2954.0821593891633,3364.9837049363696,2896.6267095566964,3292.1693736786956,2710.3151052373737,3175.5974276243646
2024-03-27,-953.5830368968818,953.5830368968818,2920.0889239635712,3326.5172486687666,2737.461093228182,3003.1597573589343,2611.7420278243003,2911.8191994384506
2024-03-28,681.8988327057959,-681.8988327057959,2878.521455565335,3279.3289898054836,2907.8065686264117,3267.8593617416163,2735.8764500387083,3126.3524624604115
2024-03-29,-364.4689156771565,364.4689156771565,2913.2044635657376,3318.6009443293756,2780.573408289485,3238.68155164692,2644.406227094235,3067.3761902777524
2024-04-01,571.7618826133403,-571.7618826133403,2899.4889267332196,3302.995226026559,2767.8186050332233,3213.208565532384,2675.943555871825,3074.292569019387
2024-04-02,390.7206054712442,-390.7206054712442,2938.8081465635073,3347.7912003846245,2696.24595134445,2989.369824487885,2615.261211526259,2911.9271487442375
2024-04-03,250.77661220927257,-250.77661220927257,2952.382567274374,3363.118795828398,2689.6041611961336,3181.2680687785614,2526.8783325174527,2917.2650177631213
2024-04-04,146.502059440827,-146.502059440827,2952.530737694566,3363.0938035843583,2992.6320769124095,3430.2036753210605,2898.7481994296945,3241.095737453502
2024-04-05,-443.3615761925539,443.3615761925539,2948.55514495047,3358.4057918776584,2715.6702215894006,3205.946174636789,2530.8658658199847,3034.7707270226942
2024-04-08,1035.801540935172,-1035.801540935172,2912.8268781880042,3317.693997199928,2648.9718034219095,3002.4767667715773,2453.063887623186,2821.7665378274405
2024-04-09,-527.212838325584,527.212838325584,2954.5132927288882,3364.8447437578443,2886.75417563989,3457.060962618148,2764.1852612321327,3264.6732459499294
2024-04-10,-481.7130321805016,481.7130321805016,2936.287559555404,3344.2048268845274,2773.4544666020734,3155.841523996607,2668.637805559872,3029.217140867559
2024-04-11,616.0987370747462,-616.0987370747462,2914.834339856591,3319.880561795884,2798.2424592641287,3296.444792804929,2595.167299850328,3061.560095666742
2024-04-12,-390.5700195039026,390.5700195039026,2953.593421599953,3363.888263682704,2742.2254728916664,3184.9673949202356,2664.1734099575074,3063.29609076554
2024-04-15,302.116639849497,-302.116639849497,2939.1881990169463,3347.528255202516,2665.35177644311,3117.0280415050493,2593.3458064098418,2933.2759735328505
2024-04-16,-855.5183338254137,855.5183338254137,2950.7646999206618,3360.5473908710555,2944.0602723075604,3247.8562199319026,2611.3697041142336,3049.798231570204
2024-04-17,-107.64415853373066,107.64415853373066,2900.8625736676204,3303.747452301616,2751.5902660163306,3177.6398150509003,2643.0307342108604,2983.895671443346
2024-04-18,-365.97234961508366,365.97234961508366,2899.1250062547774,3301.728249297302,2935.8339965661685,3393.848941783703,2776.66565963907,3154.7009559365665
