date,actual_pnl_eur,fhs_forecast_volatility_eur,fhs_residual_skewness,fhs_residual_excess_kurtosis,fhs_var_eur,fhs_es_eur,fhs_exception
2019-08-27,4371.218588000114,3247.5534558221616,0.05281526416469199,0.27644085319124967,6948.96311150942,9406.624243068973,False
2019-08-28,1477.9322187343791,3325.6969522091777,0.030666726004184627,0.2695101403119944,7202.865509316722,9763.311627400983,False
2019-08-29,906.1474052238008,3244.6419958881893,0.03405443851721308,0.2589147977214399,6989.697498147366,9468.635368166855,False
2019-08-30,-845.8191477013099,3153.617860388076,0.013947662363960417,0.29432566223766,6901.461729457466,9366.398601911644,False
2019-09-03,-676.2282276305764,3064.557381898884,0.016883003507429554,0.2992849223443259,6655.04900737569,9023.562680305733,False
2019-09-04,4332.347355555155,2975.8122112363753,0.014631765166374534,0.3270382134071941,6455.459297370843,8751.850997977055,False
2019-09-05,-4718.362721281438,3074.131521696936,-0.010099489509362068,0.3945744660308175,6852.48966250452,9322.77669320845,False
2019-09-06,1073.5028705830264,3196.7239681862648,0.08940473966223607,0.18566330581698942,6254.3510277149035,8388.141927845847,False
2019-09-09,-6048.339174130506,3110.473549377001,0.10827170582628473,0.2264383288314331,5678.885757805474,7769.5930397662905,True
2019-09-10,-6096.744492866818,3359.983205830908,0.07683596148665828,0.25336188845108243,6533.512654389746,8560.733966909782,False
2019-09-11,2189.4386244670213,3583.620453051427,0.06337899309321195,0.23587085550953324,6968.376953223698,9110.977019415643,False
2019-09-12,-1458.3941372181216,3515.595863139858,0.08370045857928933,0.18969204495287606,6836.102470679714,8721.235426074769,False
2019-09-13,-7001.530858292215,3427.165494833636,0.20882626546743618,-0.050663833295028216,6257.083995713151,6630.082690011517,True
2019-09-16,4757.564718666901,3739.254179382417,0.19357845306702406,-0.05329328951410606,7271.008055214405,7451.481109560831,False
2019-09-17,1159.424266670306,3808.0397060566474,0.1914841531201845,-0.06260106508848917,7404.7617158531975,7587.645988953914,False
2019-09-18,1729.1779582718605,3702.938375634225,0.18388423613922344,-0.054742115293206606,7200.391210025781,7377.705893524168,False
2019-09-19,712.3659253664927,3615.0313130203035,0.18367539429262905,-0.00734416264115767,7029.454943735905,7201.616558709759,False
2019-09-20,4864.58292447508,3509.243883093128,0.1781507271975057,0.007558485748446309,6823.750258126522,6990.155094523732,False
2019-09-23,183.78235810384,3604.9624742840956,0.1647378131639411,0.001025023451963314,7009.876194801807,7182.079633661986,False
2019-09-24,1988.368638888444,3495.4307409639678,0.16129758619109114,0.011845956805298652,6796.890698176852,6963.200015542814,False
2019-09-25,-5270.490002327282,3423.7656025093047,0.1523227561206423,0.017455674743009908,6657.537015236469,6819.589487919601,False
2019-09-26,205.58719587179812,3561.674468911486,0.1481815450995294,-0.010015601716014899,6925.701417919586,7093.174458745283,False
2019-09-27,-1932.19278049942,3453.5386690279515,0.1489011854091141,0.022202621519395116,6715.430705935562,6878.169200998522,False
2019-09-30,-68.27083012169714,3381.6144660255,0.16039311713639284,0.022147992823372764,6575.572990980476,6733.246724369065,False
2019-10-01,-2036.4558733644567,3278.6395623703525,0.15580948375408463,0.04129215358264693,6375.3372931584745,6527.4189239682155,False
2019-10-02,-1284.8446595356502,3217.6603623869178,0.15626564656516528,0.04564625397760125,6256.762521871892,6405.173527730236,False
2019-10-03,5990.674437799427,3135.472452931097,0.16446188615929971,0.039552106755961436,6096.94753302638,6241.458541469364,False
2019-10-04,5810.861217485474,3375.589842266261,0.15683027995434307,-0.00769737338899823,6563.857742376477,6720.321755909661,False
2019-10-07,-4639.858212701031,3568.878932754447,0.15938541416225846,-0.02132249127937902,6939.709743442835,7105.22077557992,False
2019-10-08,-2025.007732084716,3642.029676141946,0.1561383942041387,-0.025730221810461362,7081.951760136465,7250.543723185073,False
2019-10-09,597.7793698287438,3565.7477664743674,0.16900825477991147,-0.028081499942514743,6933.6204986334,7097.076359798791,False
2019-10-10,-3581.4386925237363,3460.22027851148,0.17166650331894684,-0.024423148173335907,6728.421214878735,6885.975270004073,False
2019-10-11,-1529.3711925387256,3467.612612422585,0.17814525876477716,-0.023730063248501132,6742.798533896808,6908.903582061228,False
2019-10-14,2844.72813467621,3382.782258130916,0.18050595297929753,-0.025190626854940223,6577.844903052399,6738.810222685225,False
2019-10-15,-2214.8635335264844,3352.934776879061,0.1659385709434452,-0.014055034809095979,6519.806137687327,6679.009768028349,False
2019-10-16,926.6953407490064,3295.7516188429427,0.17350811009940736,0.006712319880955331,6408.612745993314,6564.17498704415,False
2019-10-17,950.6360458446884,3203.4020146029357,0.16184459065070406,0.011580617846746133,6229.0408192762525,6387.548325608894,False
2019-10-18,-310.76118312196024,3114.5305120117764,0.16350531353963843,0.014834045742463164,6056.2287612226955,6208.291151113184,False
2019-10-21,-764.2995022901555,3020.608616352751,0.17496965500922887,0.025736674525608905,5873.597351224472,6022.356085432104,False
2019-10-22,1305.963797340909,2934.566632424782,0.19060353591163276,0.050627948540912904,5706.287494713688,5849.260130968638,False
2019-10-23,978.9419931837574,2863.095044510999,0.18044361725777674,0.06000896774279729,5567.309800832699,5704.965288626834,False
2019-10-24,929.4373803721778,2786.2114659927242,0.175223506958404,0.0912874496104994,5417.8085708225635,5550.235234434372,False
2019-10-25,-602.8974041841218,2710.908837692497,0.16929300602692315,0.09338900376229464,5271.3829026025915,5402.648809821967,False
