date,actual_pnl_eur,historical_var_eur,parametric_var_eur,historical_exception,parametric_exception
2024-11-04,4118.739796964093,10350.621838958295,9835.02410841945,False,False
2024-11-05,4945.917428307145,10350.621838958295,9844.117796508397,False,False
2024-11-06,-5447.169031044669,10350.621838958295,9849.662246751252,False,False
2024-11-07,4419.268014454748,10350.621838958295,9882.133689683931,False,False
2024-11-08,5035.132677493709,10350.621838958295,9816.19948824131,False,False
2024-11-11,-6229.352945500971,10350.621838958295,9830.56880187709,False,False
2024-11-12,-7512.068623131085,10350.621838958295,9882.57014347447,False,False
2024-11-13,-5130.532771987339,10350.621838958295,9779.200740473576,False,False
2024-11-14,-1252.56815245689,10350.621838958295,9812.949001092735,False,False
2024-11-15,-4909.573939130224,10350.621838958295,9791.18485270386,False,False
2024-11-18,4479.810541006924,10350.621838958295,9821.94509420253,False,False
2024-11-19,4948.137920144002,10350.621838958295,9821.82368379518,False,False
2024-11-20,210.11985539481918,10350.621838958295,9842.319511597974,False,False
2024-11-21,1202.7441623432276,10350.621838958295,9842.239897868745,False,False
2024-11-22,1417.3477990941374,10350.621838958295,9830.654124164388,False,False
2024-11-25,4396.739117738317,10350.621838958295,9795.598869492953,False,False
2024-11-26,-247.40090785368994,10350.621838958295,9804.576622733157,False,False
2024-11-27,2552.4760919044597,10350.621838958295,9785.56694858697,False,False
2024-11-29,7312.119174052311,10350.621838958295,9770.934741884128,False,False
2024-12-02,-483.8384153307561,10350.621838958295,9756.030871429248,False,False
2024-12-03,-3002.4300089328995,10350.621838958295,9712.476159720856,False,False
2024-12-04,5413.954961910283,10350.621838958295,9704.472661108714,False,False
2024-12-05,-851.9463519727044,10350.621838958295,9726.005569267116,False,False
2024-12-06,2334.3189318070226,10350.621838958295,9727.676057091006,False,False
2024-12-09,-2944.9201832956296,10350.621838958295,9718.442302171126,False,False
2024-12-10,-408.3128382184384,10350.621838958295,9725.779038470653,False,False
2024-12-11,105.11536767371331,10350.621838958295,9724.311825934132,False,False
2024-12-12,-7627.89690496557,10350.621838958295,9502.961522755444,False,False
2024-12-13,-5550.768524922556,10350.621838958295,9445.529648747823,False,False
2024-12-16,3015.4697751615613,10350.621838958295,9485.51037175044,False,False
2024-12-17,-736.9150538349855,10350.621838958295,9486.812368463208,False,False
